,OX
2020-07-05 02:00:00,16.0
2020-07-05 14:00:00,34.0
2020-07-06 02:00:00,20.0
2020-07-06 14:00:00,14.0
2020-07-07 02:00:00,5.0
2020-07-07 14:00:00,21.0
2020-07-08 02:00:00,6.0
2020-07-08 14:00:00,39.0
2020-07-09 02:00:00,7.0
2020-07-09 14:00:00,21.0
2020-07-10 02:00:00,5.0
2020-07-10 14:00:00,25.0
2020-07-11 02:00:00,3.0
2020-07-11 14:00:00,23.0
2020-07-12 02:00:00,4.0
2020-07-12 14:00:00,38.0
2020-07-13 02:00:00,30.0
2020-07-13 14:00:00,40.0
2020-07-14 02:00:00,20.0
2020-07-14 14:00:00,19.0
2020-07-15 02:00:00,21.0
2020-07-15 14:00:00,18.0
2020-07-16 02:00:00,16.0
2020-07-16 14:00:00,39.0
2020-07-17 02:00:00,13.0
2020-07-17 14:00:00,18.0
2020-07-18 02:00:00,10.0
2020-07-18 14:00:00,11.0
2020-07-19 02:00:00,1.0
2020-07-19 14:00:00,69.0
2020-07-20 02:00:00,14.0
2020-07-20 14:00:00,63.0
2020-07-21 02:00:00,24.0
2020-07-21 14:00:00,50.0
2020-07-22 02:00:00,14.0
2020-07-22 14:00:00,53.0
2020-07-23 02:00:00,53.48739495798319
2020-07-23 14:00:00,49.65546218487395
2020-07-24 02:00:00,45.82352941176471
2020-07-24 14:00:00,41.991596638655466
2020-07-25 02:00:00,38.15966386554622
2020-07-25 14:00:00,34.32773109243698
2020-07-26 02:00:00,30.495798319327733
2020-07-26 14:00:00,26.66386554621849
2020-07-27 02:00:00,22.831932773109244
2020-07-27 14:00:00,19.0
2020-07-28 02:00:00,6.0
2020-07-28 14:00:00,34.0
2020-07-29 02:00:00,17.0
2020-07-29 14:00:00,21.0
2020-07-30 02:00:00,20.0
2020-07-30 14:00:00,49.0
2020-07-31 02:00:00,14.0
2020-07-31 14:00:00,68.0
2020-08-01 02:00:00,32.0
2020-08-01 14:00:00,48.0
2020-08-02 02:00:00,26.0
2020-08-02 14:00:00,45.0
2020-08-03 02:00:00,17.0
2020-08-03 14:00:00,111.0
2020-08-04 02:00:00,19.0
2020-08-04 14:00:00,96.0
2020-08-05 02:00:00,9.0
2020-08-05 14:00:00,92.0
2020-08-06 02:00:00,7.0
2020-08-06 14:00:00,70.0
2020-08-07 02:00:00,8.0
2020-08-07 14:00:00,80.0
2020-08-08 02:00:00,18.0
2020-08-08 14:00:00,48.0
2020-08-09 02:00:00,32.0
2020-08-09 14:00:00,48.0
2020-08-10 02:00:00,11.0
2020-08-10 14:00:00,62.0
2020-08-11 02:00:00,6.0
2020-08-11 14:00:00,44.0
2020-08-12 02:00:00,7.0
2020-08-12 14:00:00,44.0
2020-08-13 02:00:00,13.0
2020-08-13 14:00:00,46.0
2020-08-14 02:00:00,17.0
2020-08-14 14:00:00,55.0
2020-08-15 02:00:00,19.0
2020-08-15 14:00:00,66.0
2020-08-16 02:00:00,40.0
2020-08-16 14:00:00,46.0
2020-08-17 02:00:00,20.0
2020-08-17 14:00:00,73.0
2020-08-18 02:00:00,24.0
2020-08-18 14:00:00,53.0
2020-08-19 02:00:00,23.0
2020-08-19 14:00:00,83.0
2020-08-20 02:00:00,16.0
2020-08-20 14:00:00,94.0
2020-08-21 02:00:00,19.0
2020-08-21 14:00:00,120.0
2020-08-22 02:00:00,9.0
2020-08-22 14:00:00,61.0
2020-08-23 02:00:00,19.0
2020-08-23 14:00:00,42.0
2020-08-24 02:00:00,5.0
2020-08-24 14:00:00,43.0
2020-08-25 02:00:00,12.0
2020-08-25 14:00:00,65.0
2020-08-26 02:00:00,12.0
2020-08-26 14:00:00,84.0
2020-08-27 02:00:00,7.0
2020-08-27 14:00:00,35.0
2020-08-28 02:00:00,4.0
2020-08-28 14:00:00,38.0
2020-08-29 02:00:00,6.0
2020-08-29 14:00:00,69.0
2020-08-30 02:00:00,3.0
2020-08-30 14:00:00,61.0
2020-08-31 02:00:00,21.0
2020-08-31 14:00:00,44.0
2020-09-01 02:00:00,21.0
2020-09-01 14:00:00,36.0
2020-09-02 02:00:00,12.0
2020-09-02 14:00:00,28.0
2020-09-03 02:00:00,5.0
