,ëOã¥ìåã«_2_14,ç]ìåãÊëÂìá_2_14,ä¬ã´â»äwçëç€Çb_2_14
2020-05-30 14:00:00,71.0,48.0,75.0
2020-05-31 02:00:00,31.0,27.0,25.0
2020-05-31 14:00:00,49.0,44.0,49.0
2020-06-01 02:00:00,34.0,42.0,43.0
2020-06-01 14:00:00,48.0,33.0,45.0
2020-06-02 02:00:00,18.0,23.0,29.0
2020-06-02 14:00:00,52.0,43.0,73.0
2020-06-03 02:00:00,40.0,19.0,41.0
2020-06-03 14:00:00,66.0,69.0,78.0
2020-06-04 02:00:00,22.0,26.0,27.0
2020-06-04 14:00:00,79.0,63.0,87.0
2020-06-05 02:00:00,41.0,22.0,28.0
2020-06-05 14:00:00,82.0,47.0,107.0
2020-06-06 02:00:00,19.0,42.0,37.0
2020-06-06 14:00:00,71.0,73.0,72.0
2020-06-07 02:00:00,40.0,43.0,39.0
2020-06-07 14:00:00,52.0,55.0,56.0
2020-06-08 02:00:00,36.0,37.0,39.0
2020-06-08 14:00:00,69.0,79.0,86.0
2020-06-09 02:00:00,38.0,18.0,23.0
2020-06-09 14:00:00,79.0,45.0,72.0
2020-06-10 02:00:00,32.0,29.0,14.0
2020-06-10 14:00:00,79.0,41.0,45.0
2020-06-11 02:00:00,17.0,24.0,26.0
2020-06-11 14:00:00,33.0,6.0,13.0
2020-06-12 02:00:00,4.0,4.0,11.0
2020-06-12 14:00:00,27.0,25.0,58.0
2020-06-13 02:00:00,23.0,19.0,25.0
2020-06-13 14:00:00,33.0,33.0,29.0
2020-06-14 02:00:00,29.0,18.0,26.0
2020-06-14 14:00:00,39.0,32.0,44.0
2020-06-15 02:00:00,18.0,23.0,15.0
2020-06-15 14:00:00,50.0,74.0,53.0
2020-06-16 02:00:00,36.0,43.0,48.0
2020-06-16 14:00:00,59.0,66.0,64.0
2020-06-17 02:00:00,41.0,47.0,35.0
2020-06-17 14:00:00,62.0,58.0,79.0
2020-06-18 02:00:00,29.0,27.0,23.0
2020-06-18 14:00:00,60.0,53.0,59.0
2020-06-19 02:00:00,43.0,52.0,47.0
2020-06-19 14:00:00,57.0,45.0,52.0
2020-06-20 02:00:00,20.0,39.0,28.0
2020-06-20 14:00:00,40.0,67.0,44.0
2020-06-21 02:00:00,21.0,40.0,38.0
2020-06-21 14:00:00,38.0,45.0,47.0
2020-06-22 02:00:00,23.0,24.0,22.0
2020-06-22 14:00:00,27.0,25.0,30.0
2020-06-23 02:00:00,21.0,36.0,31.0
2020-06-23 14:00:00,43.0,61.0,46.0
2020-06-24 02:00:00,29.0,32.0,32.0
2020-06-24 14:00:00,46.0,35.0,38.0
2020-06-25 02:00:00,19.0,22.0,21.0
2020-06-25 14:00:00,45.0,27.0,35.0
2020-06-26 02:00:00,13.0,10.0,18.0
2020-06-26 14:00:00,46.0,89.0,62.0
2020-06-27 02:00:00,7.0,23.0,17.0
2020-06-27 14:00:00,61.0,76.0,82.0
2020-06-28 02:00:00,21.0,31.0,22.0
2020-06-28 14:00:00,48.0,54.0,51.0
2020-06-29 02:00:00,34.0,37.0,34.0
2020-06-29 14:00:00,56.0,86.0,78.0
2020-06-30 02:00:00,33.0,42.0,23.0
2020-06-30 14:00:00,48.0,23.0,38.0
2020-07-01 02:00:00,12.0,7.0,19.0
2020-07-01 14:00:00,26.0,9.0,13.0
2020-07-02 02:00:00,17.0,24.0,31.0
2020-07-02 14:00:00,59.0,46.0,63.0
2020-07-03 02:00:00,27.0,18.0,11.0
2020-07-03 14:00:00,58.0,30.0,40.0
2020-07-04 02:00:00,30.0,23.0,23.0
2020-07-04 14:00:00,39.0,15.0,34.0
2020-07-05 02:00:00,11.0,13.0,16.0
2020-07-05 14:00:00,33.0,46.0,34.0
2020-07-06 02:00:00,21.0,12.0,20.0
2020-07-06 14:00:00,41.0,5.0,14.0
2020-07-07 02:00:00,1.0,3.0,5.0
2020-07-07 14:00:00,43.0,5.0,21.0
2020-07-08 02:00:00,4.0,1.0,6.0
2020-07-08 14:00:00,41.0,36.0,39.0
2020-07-09 02:00:00,5.0,1.0,7.0
2020-07-09 14:00:00,52.0,10.0,21.0
2020-07-10 02:00:00,5.0,4.0,5.0
2020-07-10 14:00:00,44.0,5.0,25.0
2020-07-11 02:00:00,6.0,3.0,3.0
2020-07-11 14:00:00,8.0,11.0,23.0
2020-07-12 02:00:00,0.0,16.0,4.0
2020-07-12 14:00:00,39.0,65.0,38.0
2020-07-13 02:00:00,23.0,35.0,30.0
2020-07-13 14:00:00,46.0,41.0,40.0
2020-07-14 02:00:00,16.0,23.0,20.0
2020-07-14 14:00:00,33.0,9.0,19.0
2020-07-15 02:00:00,18.0,26.0,21.0
2020-07-15 14:00:00,27.0,15.0,18.0
2020-07-16 02:00:00,16.0,17.0,16.0
2020-07-16 14:00:00,36.0,38.0,39.0
2020-07-17 02:00:00,17.0,19.0,13.0
2020-07-17 14:00:00,21.0,11.0,18.0
2020-07-18 02:00:00,15.0,12.0,10.0
2020-07-18 14:00:00,18.0,18.0,11.0
2020-07-19 02:00:00,3.0,0.0,1.0
2020-07-19 14:00:00,50.0,54.0,69.0
2020-07-20 02:00:00,11.0,21.0,14.0
2020-07-20 14:00:00,59.0,76.0,63.0
2020-07-21 02:00:00,37.0,20.0,24.0
2020-07-21 14:00:00,50.0,44.5,50.0
2020-07-22 02:00:00,9.0,8.0,14.0
2020-07-22 14:00:00,52.0,32.0,53.0
2020-07-23 02:00:00,12.0,28.0,53.48739495798319
2020-07-23 14:00:00,36.0,28.0,49.65546218487395
2020-07-24 02:00:00,7.0,12.0,45.82352941176471
2020-07-24 14:00:00,38.0,70.0,41.991596638655466
2020-07-25 02:00:00,9.0,8.0,38.15966386554622
2020-07-25 14:00:00,34.0,9.0,34.32773109243698
2020-07-26 02:00:00,3.0,3.0,30.495798319327733
2020-07-26 14:00:00,27.0,15.0,26.66386554621849
2020-07-27 02:00:00,2.0,3.0,22.831932773109244
2020-07-27 14:00:00,21.0,8.0,19.0
2020-07-28 02:00:00,1.0,5.0,6.0
2020-07-28 14:00:00,20.0,15.0,34.0
2020-07-29 02:00:00,1.0,20.0,17.0
2020-07-29 14:00:00,22.0,27.0,21.0
2020-07-30 02:00:00,14.0,24.0,20.0
2020-07-30 14:00:00,40.0,41.0,49.0
2020-07-31 02:00:00,14.0,7.0,14.0
2020-07-31 14:00:00,57.0,44.0,68.0
2020-08-01 02:00:00,14.0,15.0,32.0
2020-08-01 14:00:00,43.0,39.0,48.0
2020-08-02 02:00:00,17.0,17.0,26.0
2020-08-02 14:00:00,42.0,40.0,45.0
2020-08-03 02:00:00,22.0,21.0,17.0
2020-08-03 14:00:00,66.0,48.0,111.0
2020-08-04 02:00:00,14.0,11.0,19.0
2020-08-04 14:00:00,68.0,47.0,96.0
2020-08-05 02:00:00,12.0,15.0,9.0
2020-08-05 14:00:00,57.0,33.0,92.0
2020-08-06 02:00:00,13.0,6.0,7.0
2020-08-06 14:00:00,71.0,23.0,70.0
2020-08-07 02:00:00,4.0,7.0,8.0
2020-08-07 14:00:00,49.0,33.0,80.0
2020-08-08 02:00:00,4.0,8.0,18.0
2020-08-08 14:00:00,54.0,33.0,48.0
2020-08-09 02:00:00,25.0,18.0,32.0
2020-08-09 14:00:00,32.0,37.0,48.0
2020-08-10 02:00:00,2.0,0.0,11.0
2020-08-10 14:00:00,49.0,89.0,62.0
2020-08-11 02:00:00,12.0,0.0,6.0
2020-08-11 14:00:00,37.0,27.0,44.0
2020-08-12 02:00:00,11.0,5.0,7.0
2020-08-12 14:00:00,36.0,46.0,44.0
2020-08-13 02:00:00,2.0,27.0,13.0
2020-08-13 14:00:00,19.0,78.0,46.0
2020-08-14 02:00:00,20.0,23.0,17.0
2020-08-14 14:00:00,45.0,47.0,55.0
2020-08-15 02:00:00,13.0,29.0,19.0
2020-08-15 14:00:00,51.0,152.0,66.0
2020-08-16 02:00:00,21.0,24.0,40.0
2020-08-16 14:00:00,45.0,61.0,46.0
2020-08-17 02:00:00,20.0,19.0,20.0
2020-08-17 14:00:00,48.0,55.0,73.0
2020-08-18 02:00:00,10.0,18.0,24.0
2020-08-18 14:00:00,32.0,60.0,53.0
2020-08-19 02:00:00,25.0,26.0,23.0
2020-08-19 14:00:00,68.0,101.0,83.0
2020-08-20 02:00:00,33.0,15.0,16.0
2020-08-20 14:00:00,88.0,92.0,94.0
2020-08-21 02:00:00,18.0,7.0,19.0
2020-08-21 14:00:00,53.0,58.0,120.0
2020-08-22 02:00:00,18.0,5.0,9.0
2020-08-22 14:00:00,66.0,77.0,61.0
2020-08-23 02:00:00,18.0,35.0,19.0
2020-08-23 14:00:00,47.0,25.0,42.0
2020-08-24 02:00:00,7.0,7.0,5.0
2020-08-24 14:00:00,50.0,34.0,43.0
2020-08-25 02:00:00,12.0,22.0,12.0
2020-08-25 14:00:00,61.0,58.0,65.0
2020-08-26 02:00:00,11.0,6.0,12.0
2020-08-26 14:00:00,64.0,58.0,84.0
2020-08-27 02:00:00,20.0,6.0,7.0
2020-08-27 14:00:00,44.0,18.0,35.0
2020-08-28 02:00:00,2.0,1.0,4.0
2020-08-28 14:00:00,48.0,17.0,38.0
2020-08-29 02:00:00,3.0,1.0,6.0
2020-08-29 14:00:00,43.0,25.0,69.0
2020-08-30 02:00:00,6.0,1.0,3.0
2020-08-30 14:00:00,43.0,31.0,61.0
2020-08-31 02:00:00,11.0,1.0,21.0
2020-08-31 14:00:00,52.0,44.0,44.0
2020-09-01 02:00:00,15.0,15.0,21.0
2020-09-01 14:00:00,28.0,29.0,36.0
2020-09-02 02:00:00,9.0,14.0,12.0
2020-09-02 14:00:00,30.0,23.0,28.0
2020-09-03 02:00:00,7.0,2.0,5.0
2020-09-03 14:00:00,31.0,7.0,17.0
2020-09-04 02:00:00,1.0,13.0,2.0
2020-09-04 14:00:00,58.0,29.0,83.0
2020-09-05 02:00:00,7.0,16.0,6.0
2020-09-05 14:00:00,40.0,35.0,43.0
2020-09-06 02:00:00,5.0,16.0,10.0
2020-09-06 14:00:00,26.0,28.0,29.0
2020-09-07 02:00:00,13.0,6.0,5.0
2020-09-07 14:00:00,13.0,7.0,15.0
2020-09-08 02:00:00,5.0,15.0,11.0
2020-09-08 14:00:00,48.0,30.0,41.0
2020-09-09 02:00:00,16.0,26.0,4.0
2020-09-09 14:00:00,66.0,42.0,87.0
2020-09-10 02:00:00,24.0,1.0,8.0
2020-09-10 14:00:00,47.0,10.0,23.0
2020-09-11 02:00:00,5.0,4.0,2.0
2020-09-11 14:00:00,53.0,21.0,55.0
2020-09-12 02:00:00,7.0,20.0,22.0
2020-09-12 14:00:00,20.0,19.0,23.0
2020-09-13 02:00:00,9.0,19.0,14.0
2020-09-13 14:00:00,26.0,25.0,35.0
2020-09-14 02:00:00,14.0,28.0,24.0
2020-09-14 14:00:00,49.0,47.0,42.0
2020-09-15 02:00:00,20.0,21.0,24.0
2020-09-15 14:00:00,41.0,40.0,42.66666666666666
2020-09-16 02:00:00,15.0,23.0,11.0
2020-09-16 14:00:00,42.0,48.0,48.0
2020-09-17 02:00:00,19.0,15.0,13.0
2020-09-17 14:00:00,59.0,43.0,57.5
2020-09-18 02:00:00,13.0,10.0,7.0
2020-09-18 14:00:00,56.0,16.0,59.0
2020-09-19 02:00:00,40.0,6.0,20.0
2020-09-19 14:00:00,41.0,48.0,31.0
2020-09-20 02:00:00,22.0,22.0,22.0
2020-09-20 14:00:00,38.0,31.0,30.0
2020-09-21 02:00:00,16.0,17.0,9.0
2020-09-21 14:00:00,45.0,50.0,44.0
2020-09-22 02:00:00,26.0,31.0,15.0
2020-09-22 14:00:00,53.0,48.0,53.0
2020-09-23 02:00:00,14.0,30.0,23.0
2020-09-23 14:00:00,40.0,39.0,37.0
2020-09-24 02:00:00,31.0,35.0,39.0
2020-09-24 14:00:00,36.0,25.0,32.0
2020-09-25 02:00:00,17.0,29.0,19.0
2020-09-25 14:00:00,18.0,25.0,27.0
2020-09-26 02:00:00,9.0,17.0,26.0
2020-09-26 14:00:00,26.0,27.0,29.0
2020-09-27 02:00:00,25.0,31.0,22.0
2020-09-27 14:00:00,33.0,40.0,35.0
2020-09-28 02:00:00,16.0,10.0,13.0
2020-09-28 14:00:00,38.0,51.0,44.0
2020-09-29 02:00:00,10.0,26.0,14.0
2020-09-29 14:00:00,43.0,43.0,42.0
2020-09-30 02:00:00,9.0,19.0,18.0
2020-09-30 14:00:00,55.0,57.0,52.0
