観測日時,宮津,宮津 (2),舞鶴,舞鶴 (2),園部,園部 (2),京都,京都 (2),京田辺,京田辺 (2),間人,間人 (2),美山,美山 (2),福知山,福知山 (2),香住,香住.1,豊岡,豊岡.1,和田山,和田山.1,生野,生野.1,一宮,一宮.1,柏原,柏原.1,西脇,西脇.1,福崎,福崎.1,家島,家島.1,三田,三田.1,洲本,洲本.1,兎和野高原,兎和野高原.1,南淡,南淡.1,郡家,郡家.1
2018年3月2日13時,4.3,15,5.8,16,1.8,12,0.9,3,2.7,16,5,13,1.9,14,2.5,16,///,///,4.6,16,3.3,16,2.3,16,1.5,12,1.8,15,0.6,13,0.9,7,4.3,9,1.6,12,4.8,13,4.5,16,2.2,15,3,14
2018年3月2日14時,3.5,14,5.9,1,3.5,13,3.2,11,3,14,4.7,13,4.3,2,2.8,16,///,///,4.3,1,3.4,15,2.3,16,1.1,9,2,5,0.7,13,2.9,9,5.6,9,1.8,7,4.2,13,3.5,4,2.9,14,2.5,14
2018年3月2日15時,4.4,13,5.4,2,2,1,3.1,11,2.2,15,4.3,13,4.6,1,2.1,15,3.3,16,2.5,16,3.4,15,2.2,1,2,8,3.2,4,1.4,1,2.5,9,5.3,7,1.4,13,3.6,14,2.9,15,1.8,16,2.1,13
2018年3月2日16時,2.8,13,4.8,1,2.3,15,3.1,3,2,13,2.7,14,4.1,1,2.6,16,3.6,1,3.4,16,3.6,14,2.5,16,3,8,1.5,2,0.7,10,3.3,9,3.3,8,3.8,12,2.2,13,2.2,15,1.3,16,2.2,13
2018年3月2日17時,1.4,11,3,1,1.5,14,4.1,4,3.4,4,1.8,15,3.9,2,2.4,3,1.7,16,2.1,16,3.5,15,1.7,16,3.1,7,2.4,16,0.7,9,2,9,1.7,7,2.9,12,1,1,2,14,1.8,2,1.1,13
2018年3月2日18時,2.3,4,4.1,2,1,16,2.8,3,2.5,4,0.7,5,2.5,1,2.3,16,1,7,1.8,2,2.9,14,1.4,1,2.5,8,2.4,16,0.4,12,1.4,9,1.4,5,2.1,12,1.7,5,0.7,13,0.8,16,0.5,6
2018年3月2日19時,1.8,12,1.5,3,1.1,11,1.8,3,2.3,5,1.3,6,2.1,1,1.5,16,1.4,8,1.3,3,2.3,14,1.1,16,0.5,1,1.8,1,0.5,1,0.7,16,0.8,3,1.5,13,1.4,10,0.6,9,1.2,1,1.2,6
2018年3月2日20時,1.4,12,0.8,11,1.7,11,2.8,2,2.5,4,3,6,2.3,2,1,12,0.4,6,0.6,8,0.8,10,0.6,16,0.1,0,0.1,0,0.5,3,0.3,15,2.1,5,1.3,14,1,7,3.1,9,2.2,3,1.8,7
2018年3月2日21時,1.3,12,0.1,0,0.5,11,1.7,2,2.7,4,3.2,6,2.4,3,1,16,2.1,8,0.4,3,0,0,0.6,7,1.2,16,0,0,0.2,0,0.3,16,1.8,7,1.2,15,1.3,8,2.4,9,2,3,2,6
2018年3月2日22時,1.4,12,0.4,9,1.2,12,1.8,16,1.4,4,1.2,5,1.1,4,0.8,11,0.7,7,1.1,5,0.8,8,0.8,7,0.7,1,0.6,7,0.2,0,0.4,15,2.2,6,0.3,12,1.3,8,2.3,10,0.8,1,1.7,7
2018年3月2日23時,1.5,12,0.4,9,0.8,12,1.3,15,2,4,0.2,0,1.9,2,0.8,11,2,8,1.2,6,2.1,8,1,8,0.3,1,0.8,5,0.1,0,0.4,15,1,3,1.2,14,0.6,2,0.5,9,1.4,2,2.2,6
2018年3月2日24時,1.7,13,0.3,4,0.8,12,1.6,2,1.5,6,0.8,7,0.6,3,0.2,0,1.5,7,0.9,6,3,8,2.2,7,0.3,16,1,6,0.2,0,0.2,0,1.8,2,0.5,14,0.4,2,2.5,9,0.8,2,1.3,7
2018年3月3日1時,1.8,12,0.9,1,0.5,12,2.1,1,1.2,7,0.1,0,0.8,4,1.1,11,1.8,9,1.2,8,1.1,7,0.6,9,0.8,16,1.1,5,0.1,0,0.4,16,1.9,2,0.3,14,0.9,6,2.6,9,0.7,3,2.4,6
2018年3月3日2時,3,13,1.9,10,0.1,0,1.2,16,0.4,8,1,6,0.9,4,0.7,12,2.8,8,0.7,7,0.7,6,2.6,9,0.6,16,0.7,11,0,0,0.5,16,2.1,2,0,0,0.5,8,2,9,0.9,2,1.7,6
2018年3月3日3時,2.4,13,2.8,10,1,13,1.5,16,1.1,8,1,8,0.3,3,0.5,12,3.3,8,1.1,5,0.5,5,1.6,9,0.7,16,0.1,0,0.1,0,0.2,0,2,2,1.2,15,0.2,0,1.4,10,1.2,2,0.8,6
2018年3月3日4時,2.1,13,1.8,10,0.3,10,0.9,2,1.5,6,0.6,12,0.6,4,0.8,11,3.6,7,0.4,9,0.5,4,1.4,9,1.2,16,0,0,0.1,0,0.3,16,1.6,1,0.1,0,0.3,6,2,9,0.8,2,1.2,6
2018年3月3日5時,1.9,13,2.4,10,0.5,13,0.5,15,1,6,0.5,12,0.4,4,0.4,13,2.6,7,0.8,7,0,0,1,7,0.2,0,0,0,0.2,0,0.2,0,1.9,2,1,14,0.7,7,2.6,8,0.9,1,1.3,6
2018年3月3日6時,1.9,12,2.8,10,0.3,10,1.7,1,0.9,5,1,7,1.1,3,0.8,12,2.5,8,0.5,8,0.6,4,0.9,7,0.2,0,0,0,0.2,0,0.4,16,1.8,2,0.4,14,0.4,9,2.4,8,0.9,2,1.6,7
