,SHAP_OX_01,SHAP_HUM_01,SHAP_TEMP_01,SHAP_SPM_01,SHAP_PM25_04,SHAP_PM25_05,SHAP_HUM_21,SHAP_PM25_21,SHAP_OX_06,SHAP_TEMP_11
2020-02-12 10:00:00,-0.5110002622008324,-0.9995992667973042,-3.9883238077163696,0.007857968285679804,-0.15561560913920403,-0.35568846613168714,-1.0364468067884445,0.10439492668956518,-0.2693380557000637,5.181538486480713
2020-02-25 18:00:00,2.4666322946548465,-0.3850112974643708,-4.24270076751709,0.1287868835031986,0.3324870765209198,-0.006158062815666198,-0.7611831039190292,0.29110416993498806,-0.12669860273599623,3.565810489654541
2019-09-26 13:00:00,-4.233041381835937,-0.5325125217437744,-1.5032656788825989,0.0729735288536176,-0.016157756373286255,-0.2423271127045154,-0.6579590201377868,0.37408610843122003,-0.9825353503227234,0.6511638205498457
2019-06-10 11:00:00,-1.9998165845870974,-0.2620937571744435,-2.3055285692214964,0.0032068535685539036,-0.11377831473946572,-0.36513510793447496,-0.02141170605536899,-0.24827824532985687,-0.5546168506145477,1.2847825467586518
2020-01-05 08:00:00,-1.255408418178558,-0.6062628328800201,-5.260206532478332,0.012509104888886199,-0.16956147104501723,-0.36513510793447496,-0.9332228541374207,-0.4972238225862384,-0.6497100055217743,5.371624898910522
2020-01-05 00:00:00,-4.233041381835937,-0.3112607948482037,-5.279774689674378,0.0264624283649027,-0.2113988950848579,-0.35568846613168714,-0.45151128321886064,-0.2067873191088438,-0.2693380557000637,3.787576413154602
2019-11-19 16:00:00,-1.9998165845870974,-0.6062628328800201,-2.9121174812316895,0.0264624283649027,0.10935440734028812,-0.31790123060345643,-0.5547354102134705,-0.10305989496409891,-0.6972563415765762,1.9184008359909057
2019-04-25 19:00:00,6.9330832958221436,-0.27438550740480416,-1.6402373433113098,0.10553129259496927,0.34643299579620374,-0.1856465741991997,-0.02141170605536899,-0.28976915813982485,-1.2678141772747042,0.6828444473445415
2019-12-12 04:00:00,0.23340777289122344,-0.7414722204208374,-3.2056288242340094,0.021169777761679127,-0.07194090269622393,-0.29900780618190764,-0.02141170605536899,-0.14455082397907973,-0.7923493325710297,2.8688298225402833
2020-02-16 05:00:00,-5.721856021881104,-0.4218865543603897,-3.7339483022689812,0.10088020134717227,0.025679683871567233,-0.2045400891453028,-0.7095710843801498,-0.2067873191088438,-0.6972563415765762,2.995553278923035
2019-07-24 20:00:00,2.4666322946548465,-0.2620937571744435,-0.8379746802151203,0.07762469889130444,0.16513760015368464,-0.06283864043653012,-0.02141170605536899,-0.31051463782787325,0.20612675771117211,-1.5665016110986472
2019-12-30 23:00:00,0.9778156638145447,-0.5448040544986724,-3.440438079833984,0.021811284916475396,-0.16956147104501723,-0.32734810858964913,-0.5719392955303192,0.0214129403233528,-0.31688452214002605,4.389513397216797
2019-07-08 11:00:00,-8.699491882324219,-0.2620937571744435,-1.9337474226951599,0.012509104888886199,-0.08588671069592238,-0.33679490983486177,-0.02141170605536899,-0.16529629526194184,-0.7923493325710297,0.6194828803782002
2019-12-21 03:00:00,-8.699491882324219,-0.4341782867908478,-4.516646146774292,0.021811284916475396,-0.16956147104501723,-0.3462415918707848,-0.14183970652520655,-0.2067873191088438,-0.5546168506145477,3.850939178466797
2019-06-09 05:00:00,-10.93271312713623,-0.2620937571744435,-2.3250962615013124,0.0032068535685539036,-0.11377831473946572,-0.4029220972210169,-0.02141170605536899,0.0214129403233528,-0.031605607457458974,-0.3626266787439817
2020-03-16 01:00:00,-1.255408418178558,-0.3481360703706742,-4.8688570022583,0.012509104888886199,-0.05799513603560624,-0.32734810858964913,-0.10743168611079454,-0.24827824532985687,-0.2693380557000637,4.73800630569458
2020-03-29 21:00:00,3.2110403299331667,-0.3112607948482037,-5.044963836669923,0.0032068535685539036,-0.08588671069592238,-0.35568846613168714,-0.03861571941524744,-0.45573307368904353,-0.1742450350895524,5.43498752117157
2020-03-24 17:00:00,3.9554484605789186,-0.8643901839852333,-4.379671645164489,0.021811284916475396,0.039625449758023,-0.2139868344180286,-0.4343073144555092,-0.06156886760145423,-0.12669860273599623,5.625072956085205
2019-11-23 18:00:00,-1.9998165845870974,-0.2620937571744435,-3.2251965522766115,0.0032068535685539036,-0.05799513603560624,-0.3745819263160229,-0.02141170605536899,-0.2275326982140541,-0.5546168506145477,2.8688298225402833
2019-04-08 04:00:00,11.399530410766602,-0.6185546934604644,-3.4795733213424684,0.08692684618290512,-0.044049275666475284,-0.29900780618190764,-0.916018757224083,-0.14455082397907973,0.586498636007309,1.4431875824928284
2020-01-15 14:00:00,-7.955083513259888,-0.3481360703706742,-4.144864821434021,0.045066860690712904,-0.26718200328759856,-0.4029220972210169,-0.38269547373056406,-0.040823468193411795,-1.2678141772747042,4.6112805843353275
2019-06-15 04:00:00,-4.233041381835937,-0.2620937571744435,-2.677309584617615,0.04041577186435462,-0.08588671069592238,-0.36513510793447496,-0.02141170605536899,-0.040823468193411795,-0.7448029041290283,0.302673255931586
2020-01-08 13:00:00,-4.9774493217468265,-0.2620937571744435,-4.1057291507720945,0.012509104888886199,-0.09983255006372929,-0.35568846613168714,-0.14183970652520655,0.0421584654599428,-1.125175058841705,5.46666829586029
2019-10-07 14:00:00,-0.5110002622008324,-0.5570957362651825,-1.7772094428539276,0.021811284916475396,-0.044049275666475284,-0.31790123060345643,-0.02141170605536899,-0.4764787584543228,-1.0300818085670471,1.2847825467586518
2019-06-01 19:00:00,18.84360694885254,-0.3850112974643708,-1.7772094428539276,0.1101824453100562,0.23486656099557876,-0.1006257215514779,-0.1246357537806034,-0.2067873191088438,0.9668705880641937,-0.04581691212952138
2019-04-05 23:00:00,25.543291664123537,-1.0979332964867354,-2.559905791282654,0.1287868835031986,-0.1835073299705982,-0.2423271127045154,-1.208486720919609,-0.16529629526194184,0.586498636007309,0.27099222354590896
2019-08-22 10:00:00,-13.165938568115234,-0.2620937571744435,-0.8575415748171509,0.0032068535685539036,-0.14166989997029306,-0.3745819263160229,-0.09022777024656534,0.1666312754154205,-1.3629072546958922,-1.3764166608452795
2019-04-12 03:00:00,3.9554484605789186,-0.7045969158411026,-4.790588021278382,0.0264624283649027,-0.1277241453528404,-0.35568846613168714,-0.36549135446548464,-0.2275326982140541,-0.22179154194891454,3.882620358467102
2020-03-29 07:00:00,0.23340777289122344,-0.2989690452814102,-5.08409836292267,0.0032068535685539036,-0.2950736766448244,-0.4312626116909087,-0.7095710843801498,-0.040823468193411795,-0.31688452214002605,3.7558960199356077
2019-06-25 05:00:00,2.4666322946548465,-0.2620937571744435,-2.2663938164711,0.031113541685044748,-0.11377831473946572,-0.32734810858964913,-0.02141170605536899,-0.18604186847805976,-0.2693380557000637,0.5244399324059487
2019-12-05 01:00:00,0.23340777289122344,-0.839806142449379,-4.320969724655152,0.007857968285679804,-0.2113988950848579,-0.4123689327389002,-0.8816110283136368,-0.28976915813982485,-0.5546168506145477,2.583701157569885
2019-05-21 05:00:00,11.916060543060302,-0.2620937571744435,-1.9141803145408631,0.0032068535685539036,-0.2113988950848579,-0.36513510793447496,-0.36549135446548464,0.0006675500422716294,0.3536178730428219,1.2847825467586518
2019-05-20 22:00:00,12.341429710388182,-0.2620937571744435,-2.4425009369850157,0.01716021341271696,-0.2113988950848579,-0.3934754528105259,-0.09022777024656534,-0.18604186847805976,0.38078734949231147,-0.3626266787439817
2019-06-16 00:00:00,0.23340777289122344,-0.2620937571744435,-2.2663938164711,-0.010746569745242605,-0.1277241453528404,-0.3934754528105259,-0.02141170605536899,-0.3520055722736288,-0.6021634012460708,1.3481445610523222
2019-06-22 20:00:00,0.23340777289122344,-0.2620937571744435,-1.7772094428539276,0.007857968285679804,-0.09983255006372929,-0.3934754528105259,-0.02141170605536899,-0.2067873191088438,0.06348735350184144,-0.3309455970302224
2019-09-07 05:00:00,-19.121201515197754,-0.2620937571744435,-0.8966766741126776,0.045066860690712904,-0.1835073299705982,-0.3462415918707848,-0.02141170605536899,-0.12380536422133445,-1.458000445365906,-2.1367588117718697
2020-03-13 13:00:00,2.4666322946548465,-0.8643901839852333,-2.462067997455597,0.045066860690712904,0.011733857542276344,-0.33679490983486177,-0.6063473135232925,-0.040823468193411795,-0.1742450350895524,4.326153826713562
2019-06-05 21:00:00,14.377164077758788,-0.36042788401246073,-1.3662941738963128,0.08227576715871691,0.23486656099557876,-0.11007252614945173,-0.05581978049594908,-0.4764787584543228,0.4914057046175003,-0.5210312858223916
