,再現率,適合率,調和平均,特徴量,地点,lag
上位30個_多摩市愛宕_lag=1,66.66666667,55.55555556,60.60606061,上位30個,多摩市愛宕,1
上位30個_多摩市愛宕_lag=2,43.33333333,56.52173913,49.05660377,上位30個,多摩市愛宕,2
上位30個_多摩市愛宕_lag=3,33.33333333,83.33333333,47.61904762,上位30個,多摩市愛宕,3
上位30個_幸手_lag=1,70.96774194,91.66666667,80,上位30個,幸手,1
上位30個_幸手_lag=2,38.70967742,80,52.17391304,上位30個,幸手,2
上位30個_幸手_lag=3,29.03225806,64.28571429,40,上位30個,幸手,3
上位30個_所沢市東所沢_lag=1,76.31578947,80.55555556,78.37837838,上位30個,所沢市東所沢,1
上位30個_所沢市東所沢_lag=2,65.78947368,71.42857143,68.49315068,上位30個,所沢市東所沢,2
上位30個_所沢市東所沢_lag=3,39.47368421,55.55555556,46.15384615,上位30個,所沢市東所沢,3
上位30個_東秩父_lag=1,70.83333333,94.44444444,80.95238095,上位30個,東秩父,1
上位30個_東秩父_lag=2,62.5,78.94736842,69.76744186,上位30個,東秩父,2
上位30個_東秩父_lag=3,58.33333333,58.33333333,58.33333333,上位30個,東秩父,3
上位30個_江戸川区南葛西_lag=1,71.42857143,83.33333333,76.92307692,上位30個,江戸川区南葛西,1
上位30個_江戸川区南葛西_lag=2,42.85714286,75,54.54545455,上位30個,江戸川区南葛西,2
上位30個_江戸川区南葛西_lag=3,38.0952381,88.88888889,53.33333333,上位30個,江戸川区南葛西,3
上位30個_草加市西町_lag=1,72.72727273,64,68.08510638,上位30個,草加市西町,1
上位30個_草加市西町_lag=2,54.54545455,57.14285714,55.81395349,上位30個,草加市西町,2
上位30個_草加市西町_lag=3,36.36363636,80,50,上位30個,草加市西町,3
上位30個_青梅市東青梅_lag=1,66.66666667,80,72.72727273,上位30個,青梅市東青梅,1
上位30個_青梅市東青梅_lag=2,72.22222222,68.42105263,70.27027027,上位30個,青梅市東青梅,2
上位30個_青梅市東青梅_lag=3,50,62.06896552,55.38461538,上位30個,青梅市東青梅,3
