,観測日時,日最高値
172,2018-09-20 13:00:00,39.0
173,2018-09-21 01:00:00,31.0
174,2018-09-22 16:00:00,56.0
175,2018-09-23 14:00:00,53.0
176,2018-09-24 14:00:00,51.0
177,2018-09-25 12:00:00,39.0
178,2018-09-26 02:00:00,37.0
179,2018-09-27 03:00:00,31.0
180,2018-09-28 14:00:00,58.0
181,2018-09-29 20:00:00,34.0
182,2018-09-30 13:00:00,37.0
183,2019-04-01 13:00:00,54.0
184,2019-04-02 16:00:00,46.0
185,2019-04-03 13:00:00,48.0
186,2019-04-04 14:00:00,57.0
187,2019-04-05 20:00:00,65.0
188,2019-04-06 00:00:00,62.0
189,2019-04-07 16:00:00,65.0
190,2019-04-08 14:00:00,47.0
191,2019-04-09 13:00:00,47.0
192,2019-04-10 16:00:00,34.0
193,2019-04-11 21:00:00,45.0
194,2019-04-12 16:00:00,50.0
195,2019-04-13 16:00:00,64.0
196,2019-04-14 14:00:00,58.0
197,2019-04-15 12:00:00,59.0
198,2019-04-16 14:00:00,65.0
199,2019-04-17 11:00:00,58.0
200,2019-04-18 16:00:00,73.0
201,2019-04-19 15:00:00,88.0
202,2019-04-20 15:00:00,61.0
203,2019-04-21 14:00:00,68.0
204,2019-04-22 13:00:00,87.0
205,2019-04-23 14:00:00,74.0
206,2019-04-24 00:00:00,44.0
207,2019-04-25 16:00:00,63.0
208,2019-04-26 04:00:00,40.0
209,2019-04-27 18:00:00,47.0
210,2019-04-28 14:00:00,52.0
211,2019-04-29 11:00:00,50.0
212,2019-04-30 14:00:00,47.0
213,2019-05-01 13:00:00,51.0
214,2019-05-02 15:00:00,52.0
215,2019-05-03 15:00:00,66.0
216,2019-05-04 12:00:00,61.0
217,2019-05-05 15:00:00,75.0
218,2019-05-06 11:00:00,54.0
219,2019-05-07 02:00:00,55.0
220,2019-05-08 14:00:00,62.0
221,2019-05-09 16:00:00,54.0
222,2019-05-10 16:00:00,85.0
223,2019-05-11 14:00:00,114.0
224,2019-05-12 13:00:00,51.0
225,2019-05-13 14:00:00,61.0
226,2019-05-14 13:00:00,56.0
227,2019-05-15 12:00:00,64.0
228,2019-05-16 14:00:00,69.0
229,2019-05-17 14:00:00,68.0
230,2019-05-18 13:00:00,65.0
231,2019-05-19 12:00:00,65.0
232,2019-05-20 12:00:00,55.0
233,2019-05-21 20:00:00,42.0
234,2019-05-22 14:00:00,70.0
235,2019-05-23 14:00:00,77.0
236,2019-05-24 10:00:00,73.0
237,2019-05-25 15:00:00,126.0
238,2019-05-26 15:00:00,132.0
239,2019-05-27 14:00:00,141.0
240,2019-05-28 14:00:00,72.0
241,2019-05-29 14:00:00,57.0
242,2019-05-30 14:00:00,75.0
243,2019-05-31 11:00:00,51.0
244,2019-06-01 15:00:00,78.0
245,2019-06-02 17:00:00,75.0
246,2019-06-03 15:00:00,66.0
247,2019-06-04 12:00:00,78.0
248,2019-06-05 23:00:00,43.69230769230769
249,2019-06-06 23:00:00,48.30769230769231
250,2019-06-07 16:00:00,54.0
251,2019-06-08 14:00:00,58.0
252,2019-06-09 13:00:00,47.0
253,2019-06-10 19:00:00,39.0
254,2019-06-11 11:00:00,47.0
255,2019-06-12 13:00:00,50.0
256,2019-06-13 14:00:00,81.0
257,2019-06-14 13:00:00,65.0
258,2019-06-15 11:00:00,42.0
259,2019-06-16 12:00:00,47.0
260,2019-06-17 20:00:00,48.0
261,2019-06-18 13:00:00,82.0
262,2019-06-19 16:00:00,102.0
263,2019-06-20 14:00:00,69.0
264,2019-06-21 14:00:00,72.0
265,2019-06-22 11:00:00,46.0
266,2019-06-23 13:00:00,36.0
267,2019-06-24 15:00:00,30.0
268,2019-06-25 14:00:00,91.0
269,2019-06-26 13:00:00,85.0
270,2019-06-27 12:00:00,77.0
271,2019-06-28 16:00:00,52.0
