,予測値,実測値,予測値_lug
7322,9.986748,11.000001,11.633916
7323,11.633916,12.0,10.144421
7324,10.144421,17.0,18.038675
7325,18.038675,19.0,15.499997
7326,15.499997,17.0,14.381382
7327,14.381382,17.0,18.187418
7328,18.187418,20.0,25.233707
7329,25.233707,23.0,28.560432
7330,28.560432,29.0,39.207882
7331,39.207882,33.0,40.626755
7332,40.626755,38.0,45.81884
7333,45.81884,38.0,42.720047
7334,42.720047,31.999998,34.55237
7335,34.55237,36.0,36.269688
7336,36.269688,33.0,29.64287
7337,29.64287,29.0,29.74499
7338,29.74499,31.999998,33.18071
7339,33.18071,37.0,37.98095
7340,37.98095,39.0,38.342834
7341,38.342834,38.0,34.875565
7342,34.875565,37.0,34.190502
7343,34.190502,39.0,33.649704
7344,33.649704,41.0,37.886192
7345,37.886192,39.0,37.217243
7346,37.217243,39.0,35.915577
7347,35.915577,37.0,32.797924
7348,32.797924,35.0,30.122932
7349,30.122932,31.999998,27.97012
7350,27.97012,27.000002,23.288965
7351,23.288965,26.0,26.170092
7352,26.170092,29.0,31.404789
7353,31.404789,29.0,33.33179
7354,33.33179,35.0,39.929047
7355,39.929047,39.0,46.269
7356,46.269,41.0,47.036396
7357,47.036396,43.0,48.545956
7358,48.545956,42.0,43.859634
7359,43.859634,41.0,40.855385
7360,40.855385,38.0,39.314705
7361,39.314705,34.0,28.460857
7362,28.460857,34.0,34.888916
7363,34.888916,31.999998,31.597769
7364,31.597769,30.0,29.058338
7365,29.058338,30.0,28.92063
7366,28.92063,30.0,30.45943
7367,30.45943,36.0,36.560875
7368,36.560875,35.0,34.341972
7369,34.341972,31.0,30.554688
7370,30.554688,28.0,25.6309
7371,25.6309,28.0,25.515669
7372,25.515669,19.0,14.829646
7373,14.829646,13.0,11.286108
7374,11.286108,13.0,11.803625
7375,11.803625,15.999999,17.254148
7376,17.254148,15.999999,18.002138
7377,18.002138,19.0,24.226347
7378,24.226347,25.0,32.29439
7379,32.29439,29.0,35.079155
7380,35.079155,33.0,38.88598
7381,38.88598,31.0,33.108948
7382,33.108948,31.999998,32.869995
7383,32.869995,31.0,30.512522
7384,30.512522,30.0,26.410088
7385,26.410088,18.0,13.976796
7386,13.976796,13.0,13.508782
7387,13.508782,15.999999,10.434833
7388,10.434833,9.0,4.8084264
7389,4.8084264,17.0,13.371843
7390,13.371843,13.0,6.7128234
7391,6.7128234,3.0,6.093445
7392,6.093445,0.99999994,3.3680515
7393,3.3680515,0.99999994,3.4610329
7394,3.4610329,7.0,9.093227
7395,9.093227,11.000001,12.195114
7396,12.195114,17.0,13.26157
7397,13.26157,11.000001,9.307274
7398,9.307274,7.0,5.9862113
7399,5.9862113,3.9999998,3.573061
7400,3.573061,6.0,8.647069
7401,8.647069,7.9999995,12.403706
7402,12.403706,10.0,12.897479
7403,12.897479,13.0,18.736063
7404,18.736063,23.0,29.230185
7405,29.230185,15.0,15.377373
7406,15.377373,18.0,26.13531
7407,26.13531,24.0,22.828985
7408,22.828985,18.0,14.664592
7409,14.664592,0.99999994,2.6882625
7410,2.6882625,1.9999999,2.9136872
7411,2.9136872,6.0,5.388465
7412,5.388465,21.0,20.279331
7413,20.279331,24.0,12.0422735
7414,12.0422735,19.0,19.378876
7415,19.378876,11.000001,9.341185
7416,9.341185,14.0,13.794147
7417,13.794147,10.0,11.55015
7418,11.55015,7.9999995,9.884857
7419,9.884857,5.0,6.6992655
7420,6.6992655,3.9999998,3.380549
7421,3.380549,6.0,4.7953033
7422,4.7953033,7.0,6.047152
7423,6.047152,7.9999995,8.59351
7424,8.59351,7.0,7.7705717
7425,7.7705717,7.0,8.395552
7426,8.395552,7.9999995,9.915741
7427,9.915741,9.0,6.4997053
7428,6.4997053,11.000001,18.686035
7429,18.686035,35.0,43.75722
7430,43.75722,29.0,23.844107
7431,23.844107,35.0,37.80675
7432,37.80675,39.0,38.517853
7433,38.517853,44.000004,48.90213
7434,48.90213,41.0,39.627186
7435,39.627186,26.0,23.795635
7436,23.795635,23.0,20.91479
7437,20.91479,25.0,22.16646
7438,22.16646,25.0,25.327637
7439,25.327637,30.0,33.45124
7440,33.45124,34.0,37.25776
7441,37.25776,38.0,38.351368
7442,38.351368,36.0,35.0061
7443,35.0061,36.0,34.502388
7444,34.502388,34.0,30.129604
7445,30.129604,29.0,26.738302
7446,26.738302,29.0,28.659191
7447,28.659191,27.000002,26.296654
7448,26.296654,26.0,28.188879
7449,28.188879,24.0,25.863216
7450,25.863216,33.0,42.857285
7451,42.857285,41.0,46.216213
7452,46.216213,43.0,52.474976
7453,52.474976,46.0,47.92017
7454,47.92017,47.0,48.88615
7455,48.88615,42.0,39.216488
7456,39.216488,40.0,38.312122
7457,38.312122,37.0,32.688225
7458,32.688225,36.0,33.926228
7459,33.926228,35.0,33.69259
7460,33.69259,33.0,33.032677
7461,33.032677,31.0,32.33746
7462,32.33746,37.0,39.23357
7463,39.23357,37.0,34.904015
7464,34.904015,31.999998,28.729376
7465,28.729376,27.000002,23.813284
7466,23.813284,26.0,24.875143
7467,24.875143,27.000002,24.89159
7468,24.89159,27.000002,24.207394
7469,24.207394,24.0,21.546608
7470,21.546608,24.0,24.362177
7471,24.362177,24.0,25.361774
7472,25.361774,25.0,27.754335
7473,27.754335,23.0,27.022976
7474,27.022976,33.0,40.75337
7475,40.75337,38.0,42.63698
7476,42.63698,42.0,47.654377
7477,47.654377,42.0,45.380558
7478,45.380558,42.0,42.6046
7479,42.6046,41.0,40.362312
7480,40.362312,36.0,33.3824
7481,33.3824,34.0,35.1834
7482,35.1834,30.0,29.012827
7483,29.012827,29.0,30.07893
7484,30.07893,26.0,24.158033
7485,24.158033,23.0,22.326939
7486,22.326939,21.0,17.798502
7487,17.798502,19.0,16.9867
7488,16.9867,20.0,17.595688
7489,17.595688,23.0,22.771738
7490,22.771738,24.0,21.755215
7491,21.755215,26.0,23.236908
7492,23.236908,27.000002,24.301828
7493,24.301828,24.0,20.173994
7494,20.173994,20.0,20.817532
7495,20.817532,23.0,23.910393
7496,23.910393,24.0,26.930334
7497,26.930334,31.999998,39.111797
7498,39.111797,36.0,44.343586
7499,44.343586,41.0,46.334736
7500,46.334736,45.0,52.69923
7501,52.69923,48.0,50.237465
7502,50.237465,48.0,51.35224
7503,51.35224,48.0,46.87199
7504,46.87199,42.0,36.93608
7505,36.93608,36.0,32.030315
7506,32.030315,33.0,29.441841
7507,29.441841,34.0,30.656183
